title,author,price,in_stock,book_genre,book_url
Teen Titans Go! 3: Bring it On,J. Torres,280.00,Instock,Graphic Novels,https://diwanegypt.com/product/teen-titans-go-3-bring-it-on/
Teen Titans GO! 3,Sholly Fisch&Lea Hernandez,280.00,Instock,Graphic Novels,https://diwanegypt.com/product/teen-titans-go-3/
Teen Titans Go! 2,Lea Hernandez,280.00,Instock,Graphic Novels,https://diwanegypt.com/product/teen-titans-go-2/
Teen Titans Go!,Various,220.00,Instock,Graphic Novels,https://diwanegypt.com/product/teen-titans-go/
Teen Titans,Gabriel Picolo&Kami Garcia,360.00,Instock,Graphic Novels,https://diwanegypt.com/product/teen-titans/
Tarot del Toro,Tomas Hijo&Guillermo del Toro,630.00,Instock,New Age,https://diwanegypt.com/product/tarot-del-toro/
Superman Adventures 6,Aluir Amancio,220.00,Instock,Graphic Novels,https://diwanegypt.com/product/superman-adventures-6/
Super Sons 1,Ridley Pearson&Ile Gonzalez,220.00,Instock,Graphic Novels,https://diwanegypt.com/product/super-sons-1/
Stolen Focus,Johann Hari,590.00,Instock,Wellbeing,https://diwanegypt.com/product/stolen-focus/
Stranger Things: Runaway Max,Brenna Yovanoff,230.00,Instock,Young Adults,https://diwanegypt.com/product/stranger-things-runaway-max/
Speak to Us of Love,Osho,320.00,Out of stock,Spirituality,https://diwanegypt.com/product/speak-to-us-of-love/
So You Want to Talk About Race,Ijeoma Oluo,220.00,Out of stock,Society & Culture,https://diwanegypt.com/product/so-you-want-to-talk-about-race/
The Prepared Graduate,Kyyah Abdul MPH,360.00,Instock,Business,https://diwanegypt.com/product/the-prepared-graduate/
The Perfect Way,Osho,290.00,Out of stock,Spirituality,https://diwanegypt.com/product/the-perfect-way/
The Power of Regret,Daniel H. Pink,395.00,Instock,Wellbeing,https://diwanegypt.com/product/the-power-of-regret/
The Maid,Nita Prose,565.00,Instock,Literature & Fiction,https://diwanegypt.com/product/the-maid/
The Path of Love,Osho,320.00,Out of stock,Spirituality,https://diwanegypt.com/product/the-path-of-love/
The Magic of Self-Respect,Osho,420.00,Out of stock,Spirituality,https://diwanegypt.com/product/the-magic-of-self-respect/
The Last Confessions of Sylvia,Lee Kravetz,545.00,Out of stock,Literature & Fiction,https://diwanegypt.com/product/the-last-confessions-of-sylvia/
The Kissing Booth 1,Beth Reekles,210.00,Instock,Young Adults,https://diwanegypt.com/product/the-kissing-booth-1/
